modelo;training_type;epoch;val_acc;test_acc;val_neutral;val_happiness;val_surprise;val_sadness;val_anger;val_disgust;val_fear;val_contempt;test_neutral;test_happiness;test_surprise;test_sadness;test_anger;test_disgust;test_fear;test_contempt;batch_size;sampler
ConvNext;crossentropy;42;80,8524%;79,1521%;77,8814%;90,9513%;85,6448%;70,4023%;76,1246%;48,0000%;61,6667%;68,7500%;78,5780%;87,4439%;83,5025%;66,7539%;77,6952%;62,5000%;51,1628%;33,3333%;64;weighted
ConvNext;crossentropy;48;83,2654%;83,0411%;87,7966%;93,0394%;86,8613%;61,4943%;73,7024%;24,0000%;45,0000%;12,5000%;89,1043%;92,9372%;86,0406%;60,4712%;77,3234%;12,5000%;36,0465%;0,0000%;64;none
ConvNext;multi_target;40;79,7556%;79,6302%;78,0508%;88,6311%;88,3212%;66,9540%;73,3564%;48,0000%;55,0000%;43,7500%;77,9317%;89,1256%;86,8020%;65,7068%;77,3234%;68,7500%;51,1628%;20,0000%;64;weighted
ConvNext;multi_target;42;82,6073%;81,6385%;87,8814%;93,1554%;85,1582%;61,7816%;67,4740%;36,0000%;43,3333%;6,2500%;88,1810%;92,4888%;83,2487%;59,1623%;72,8625%;12,5000%;33,7209%;0,0000%;64;none
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;VGG
